id,date,home_team,home_team_score,visit_team,visit_team_score
400277722,2013-10-30,Miami,120,Boston Celtics,107
400277737,2013-11-02,Boston Celtics,88,Milwaukee,99
400277747,2013-11-03,Washington,86,Boston Celtics,89
400277774,2013-11-07,Boston Celtics,100,Washington,94
400277790,2013-11-09,Boston Celtics,100,Philadelphia,106
400277806,2013-11-10,Milwaukee,92,Boston Celtics,96
400277818,2013-11-12,Chicago,95,Boston Celtics,101
400277830,2013-11-14,Boston Celtics,98,Utah,93
400277839,2013-11-15,Brooklyn,102,Boston Celtics,97
400277851,2013-11-17,Boston Celtics,107,Toronto,89
400277864,2013-11-18,Detroit,103,Boston Celtics,83
400277881,2013-11-21,Boston Celtics,100,San Antonio,112
400277893,2013-11-23,Boston Celtics,108,Oklahoma City,100
400277915,2013-11-25,Orlando,110,Boston Celtics,116
400277931,2013-11-28,Boston Celtics,83,Brooklyn,95
400277945,2013-11-30,Boston Celtics,96,Portland,78
400277958,2013-12-01,Milwaukee,91,Boston Celtics,88
400277979,2013-12-05,Boston Celtics,104,Minnesota,94
400277990,2013-12-07,Philadelphia,95,Boston Celtics,94
400278005,2013-12-08,Boston Celtics,92,Philadelphia,79
400278035,2013-12-12,Boston Celtics,117,Dallas,115
400278052,2013-12-14,Houston,101,Boston Celtics,89
400278064,2013-12-15,San Antonio,103,Boston Celtics,88
400278080,2013-12-18,Chicago,100,Boston Celtics,89
400278090,2013-12-19,Boston Celtics,103,Cleveland,91
400278102,2013-12-21,Boston Celtics,94,Milwaukee,99
400278125,2013-12-25,Brooklyn,76,Boston Celtics,93
400278144,2013-12-27,LA,106,Boston Celtics,77
400278167,2013-12-29,Golden State,101,Boston Celtics,83
400278170,2013-12-30,Sacramento,118,Boston Celtics,96
400278188,2013-01-02,Boston Celtics,83,Memphis,93
400278203,2013-01-04,Boston Celtics,94,Indiana,75
400278209,2013-01-05,Atlanta,81,Boston Celtics,89
400278225,2013-01-07,NY Knicks,96,Boston Celtics,102
400278239,2013-01-09,Boston Celtics,87,Phoenix,79
400278251,2013-01-11,Boston Celtics,103,Houston,91
400278277,2013-01-14,Boston Celtics,100,Charlotte,89
400278293,2013-01-16,Boston Celtics,78,New Orleans,90
400278304,2013-01-18,Boston Celtics,99,Chicago,100
400278323,2013-01-20,Detroit,103,Boston Celtics,88
400278334,2013-01-22,Cleveland,95,Boston Celtics,90
400278350,2013-01-24,Boston Celtics,86,NY Knicks,89
400278353,2013-01-25,Atlanta,123,Boston Celtics,111
400278372,2013-01-27,Boston Celtics,100,Miami,98
400278392,2013-01-30,Boston Celtics,99,Sacramento,81
400278406,2013-02-01,Boston Celtics,97,Orlando,84
400278425,2013-02-03,Boston Celtics,106,LA,104
400278440,2013-02-06,Toronto,95,Boston Celtics,99
400278453,2013-02-07,Boston Celtics,116,Los Angeles,95
400278474,2013-02-10,Boston Celtics,118,Denver,114
400278482,2013-02-11,Charlotte,94,Boston Celtics,91
400278498,2013-02-13,Boston Celtics,71,Chicago,69
400278514,2013-02-19,Denver,97,Boston Celtics,90
400278527,2013-02-20,Los Angeles,113,Boston Celtics,99
400278540,2013-02-22,Phoenix,88,Boston Celtics,113
400278557,2013-02-24,Portland,92,Boston Celtics,86
400278562,2013-02-25,Utah,107,Boston Celtics,110
400278587,2013-03-01,Boston Celtics,94,Golden State,86
400278616,2013-03-05,Philadelphia,101,Boston Celtics,109
400278621,2013-03-06,Indiana,81,Boston Celtics,83
400278637,2013-03-08,Boston Celtics,107,Atlanta,102
400278654,2013-03-10,Oklahoma City,91,Boston Celtics,79
400278668,2013-03-12,Charlotte,100,Boston Celtics,74
400278679,2013-03-13,Boston Celtics,112,Toronto,88
400278700,2013-03-16,Boston Celtics,105,Charlotte,88
400278718,2013-03-18,Boston Celtics,103,Miami,105
400278733,2013-03-20,New Orleans,87,Boston Celtics,86
400278749,2013-03-22,Dallas,104,Boston Celtics,94
400278756,2013-03-23,Memphis,110,Boston Celtics,106
400278774,2013-03-26,Boston Celtics,85,NY Knicks,100
400278780,2013-03-27,Cleveland,92,Boston Celtics,93
400278795,2013-03-29,Boston Celtics,118,Atlanta,107
400278819,2013-03-31,NY Knicks,108,Boston Celtics,89
400278825,2013-04-01,Minnesota,110,Boston Celtics,100
400278835,2013-04-03,Boston Celtics,98,Detroit,93
400278847,2013-04-05,Boston Celtics,91,Cleveland,97
400278867,2013-04-07,Boston Celtics,107,Washington,96
400278888,2013-04-10,Boston Celtics,93,Brooklyn,101
400278900,2013-04-12,Miami,109,Boston Celtics,101
400278911,2013-04-13,Orlando,88,Boston Celtics,120
400278936,2013-04-17,Toronto,114,Boston Celtics,90
400277749,2013-11-03,Brooklyn Nets,107,Toronto,100
400277763,2013-11-05,Brooklyn Nets,96,Minnesota,107
400277776,2013-11-07,Miami,103,Brooklyn Nets,73
400277789,2013-11-09,Orlando,68,Brooklyn Nets,107
400277810,2013-11-11,Brooklyn Nets,82,Orlando,74
400277826,2013-11-13,Brooklyn Nets,114,Cleveland,101
400277839,2013-11-15,Brooklyn Nets,102,Boston,97
400277862,2013-11-18,Sacramento,90,Brooklyn Nets,99
400277876,2013-11-20,Los Angeles,95,Brooklyn Nets,90
400277890,2013-11-21,Golden State,102,Brooklyn Nets,93
400277894,2013-11-23,Brooklyn Nets,86,LA,76
400277913,2013-11-25,Brooklyn Nets,98,Portland,85
400431053,2013-11-26,Brooklyn Nets,96,NY Knicks,89
400277931,2013-11-28,Boston,83,Brooklyn Nets,95
400277944,2013-11-30,Orlando,86,Brooklyn Nets,98
400277953,2013-12-01,Miami,102,Brooklyn Nets,89
400277973,2013-12-04,Brooklyn Nets,111,Oklahoma City,117
400277992,2013-12-07,Brooklyn Nets,102,Golden State,109
400278013,2013-12-09,Brooklyn Nets,88,Milwaukee,97
400278024,2013-12-11,Brooklyn Nets,97,NY Knicks,100
400278029,2013-12-12,Toronto,88,Brooklyn Nets,94
400278048,2013-12-14,Brooklyn Nets,107,Detroit,105
400278061,2013-12-15,Chicago,83,Brooklyn Nets,82
400278078,2013-12-18,Brooklyn Nets,90,Utah,92
400278087,2013-12-19,NY Knicks,100,Brooklyn Nets,86
400278119,2013-12-23,Brooklyn Nets,95,Philadelphia,92
400278125,2013-12-25,Brooklyn Nets,76,Boston,93
400278135,2013-12-26,Milwaukee,108,Brooklyn Nets,93
400278147,2013-12-28,Brooklyn Nets,97,Charlotte,81
400278160,2013-12-29,Brooklyn Nets,103,Cleveland,100
400278177,2013-12-31,San Antonio,104,Brooklyn Nets,73
400278192,2013-01-02,Oklahoma City,93,Brooklyn Nets,110
400278199,2013-01-04,Washington,113,Brooklyn Nets,115
400278212,2013-01-05,Brooklyn Nets,113,Sacramento,93
400278231,2013-01-08,Philadelphia,89,Brooklyn Nets,109
400278252,2013-01-11,Brooklyn Nets,99,Phoenix,79
400278271,2013-01-13,Brooklyn Nets,97,Indiana,86
400278286,2013-01-15,Brooklyn Nets,113,Toronto,106
400278292,2013-01-16,Atlanta,109,Brooklyn Nets,95
400278308,2013-01-18,Brooklyn Nets,94,Atlanta,89
400278329,2013-01-21,NY Knicks,85,Brooklyn Nets,88
400278343,2013-01-23,Minnesota,83,Brooklyn Nets,91
400278357,2013-01-25,Memphis,101,Brooklyn Nets,77
400278366,2013-01-26,Houston,119,Brooklyn Nets,106
400278382,2013-01-28,Brooklyn Nets,97,Orlando,77
400278395,2013-01-30,Brooklyn Nets,85,Miami,105
400278407,2013-02-01,Brooklyn Nets,93,Chicago,89
400278436,2013-02-05,Brooklyn Nets,83,Los Angeles,92
400278447,2013-02-06,Detroit,90,Brooklyn Nets,93
400278455,2013-02-08,Washington,89,Brooklyn Nets,74
400278478,2013-02-10,Brooklyn Nets,86,San Antonio,111
400278484,2013-02-11,Indiana,84,Brooklyn Nets,89
400278499,2013-02-13,Brooklyn Nets,119,Denver,108
400278511,2013-02-19,Brooklyn Nets,113,Milwaukee,111
400278523,2013-02-20,Milwaukee,94,Brooklyn Nets,97
400278535,2013-02-22,Brooklyn Nets,96,Houston,106
400278551,2013-02-24,Brooklyn Nets,72,Memphis,76
400278567,2013-02-26,New Orleans,97,Brooklyn Nets,101
400278590,2013-03-01,Brooklyn Nets,90,Dallas,98
400278597,2013-03-02,Chicago,96,Brooklyn Nets,85
400278619,2013-03-06,Charlotte,78,Brooklyn Nets,99
400278638,2013-03-08,Brooklyn Nets,95,Washington,78
400278647,2013-03-09,Atlanta,80,Brooklyn Nets,93
400278663,2013-03-11,Philadelphia,106,Brooklyn Nets,97
400278671,2013-03-12,Brooklyn Nets,108,New Orleans,98
400278711,2013-03-17,Brooklyn Nets,93,Atlanta,105
400278717,2013-03-18,Detroit,82,Brooklyn Nets,119
400278735,2013-03-20,Dallas,96,Brooklyn Nets,113
400278758,2013-03-23,LA,101,Brooklyn Nets,95
400278766,2013-03-24,Phoenix,100,Brooklyn Nets,102
400278790,2013-03-27,Portland,93,Brooklyn Nets,111
400278803,2013-03-29,Denver,109,Brooklyn Nets,87
400278811,2013-03-30,Utah,116,Brooklyn Nets,107
400278834,2013-04-03,Cleveland,95,Brooklyn Nets,113
400278843,2013-04-04,Brooklyn Nets,90,Chicago,92
400278859,2013-04-06,Brooklyn Nets,105,Charlotte,96
400278875,2013-04-09,Brooklyn Nets,104,Philadelphia,83
400278888,2013-04-10,Boston,93,Brooklyn Nets,101
400278898,2013-04-12,Indiana,109,Brooklyn Nets,117
400278915,2013-04-14,Toronto,93,Brooklyn Nets,87
400278925,2013-04-15,Brooklyn Nets,106,Washington,101
400278937,2013-04-17,Brooklyn Nets,103,Detroit,99
400277740,2013-11-02,New York Knicks,104,Miami,84
400277757,2013-11-04,New York Knicks,100,Philadelphia,84
400277762,2013-11-05,Philadelphia,88,New York Knicks,110
400277791,2013-11-09,New York Knicks,104,Dallas,94
400277824,2013-11-13,Orlando,89,New York Knicks,99
400277840,2013-11-15,San Antonio,100,New York Knicks,104
400277847,2013-11-16,Memphis,105,New York Knicks,95
400277859,2013-11-18,New York Knicks,88,Indiana,76
400277875,2013-11-20,New Orleans,80,New York Knicks,102
400277887,2013-11-21,Dallas,114,New York Knicks,111
400277898,2013-11-23,Houston,131,New York Knicks,103
400277912,2013-11-25,New York Knicks,121,Detroit,100
400431053,2013-11-26,Brooklyn,96,New York Knicks,89
400277935,2013-11-28,Milwaukee,88,New York Knicks,102
400277946,2013-11-30,New York Knicks,108,Washington,87
400277963,2013-12-02,New York Knicks,106,Phoenix,99
400277977,2013-12-05,Charlotte,98,New York Knicks,100
400277988,2013-12-06,Miami,92,New York Knicks,112
400278008,2013-12-08,Chicago,93,New York Knicks,85
400278015,2013-12-09,New York Knicks,112,Denver,106
400278024,2013-12-11,Brooklyn,97,New York Knicks,100
400278043,2013-12-13,New York Knicks,116,Los Angeles,107
400278058,2013-12-15,New York Knicks,103,Cleveland,102
400278071,2013-12-17,New York Knicks,96,Houston,109
400278087,2013-12-19,New York Knicks,100,Brooklyn,86
400278103,2013-12-21,New York Knicks,106,Chicago,110
400278120,2013-12-23,New York Knicks,94,Minnesota,91
400278126,2013-12-25,Los Angeles,100,New York Knicks,94
400278141,2013-12-26,Phoenix,97,New York Knicks,99
400278154,2013-12-28,Sacramento,106,New York Knicks,105
400278179,2013-01-01,New York Knicks,100,Portland,105
400278196,2013-01-03,New York Knicks,100,San Antonio,83
400278210,2013-01-05,Orlando,106,New York Knicks,114
400278225,2013-01-07,New York Knicks,96,Boston,102
400278247,2013-01-10,Indiana,81,New York Knicks,76
400278254,2013-01-11,New York Knicks,101,Chicago,108
400278269,2013-01-13,New York Knicks,100,New Orleans,87
400278300,2013-01-17,Detroit,87,New York Knicks,102
400278329,2013-01-21,New York Knicks,85,Brooklyn,88
400278350,2013-01-24,Boston,86,New York Knicks,89
400278363,2013-01-26,Philadelphia,97,New York Knicks,80
400278376,2013-01-27,New York Knicks,106,Atlanta,104
400278393,2013-01-30,New York Knicks,113,Orlando,97
400278408,2013-02-01,New York Knicks,96,Milwaukee,86
400278417,2013-02-02,New York Knicks,120,Sacramento,81
400278430,2013-02-04,New York Knicks,99,Detroit,85
400278442,2013-02-06,Washington,106,New York Knicks,96
400278465,2013-02-08,Minnesota,94,New York Knicks,100
400278472,2013-02-10,New York Knicks,88,LA,102
400278500,2013-02-13,New York Knicks,88,Toronto,92
400278521,2013-02-20,Indiana,125,New York Knicks,91
400278531,2013-02-22,Toronto,100,New York Knicks,98
400278555,2013-02-24,New York Knicks,99,Philadelphia,93
400278573,2013-02-27,New York Knicks,109,Golden State,105
400278585,2013-03-01,Washington,88,New York Knicks,96
400278600,2013-03-03,New York Knicks,93,Miami,99
400278609,2013-03-04,Cleveland,97,New York Knicks,102
400278624,2013-03-06,Detroit,77,New York Knicks,87
400278633,2013-03-07,New York Knicks,94,Oklahoma City,95
400278648,2013-03-09,New York Knicks,113,Utah,84
400278667,2013-03-11,Golden State,92,New York Knicks,63
400278684,2013-03-13,Denver,117,New York Knicks,94
400278688,2013-03-14,Portland,105,New York Knicks,90
400278707,2013-03-17,LA,93,New York Knicks,80
400278723,2013-03-18,Utah,83,New York Knicks,90
400278730,2013-03-20,New York Knicks,106,Orlando,94
400278742,2013-03-22,Toronto,94,New York Knicks,99
400278754,2013-03-23,New York Knicks,110,Toronto,84
400278774,2013-03-26,Boston,85,New York Knicks,100
400278781,2013-03-27,New York Knicks,108,Memphis,101
400278796,2013-03-29,New York Knicks,111,Charlotte,102
400278819,2013-03-31,New York Knicks,108,Boston,89
400278829,2013-04-02,Miami,90,New York Knicks,102
400278833,2013-04-03,Atlanta,82,New York Knicks,95
400278848,2013-04-05,New York Knicks,101,Milwaukee,83
400278865,2013-04-07,Oklahoma City,120,New York Knicks,125
400278876,2013-04-09,New York Knicks,120,Washington,99
400278894,2013-04-11,Chicago,118,New York Knicks,111
400278902,2013-04-12,Cleveland,91,New York Knicks,101
400278916,2013-04-14,New York Knicks,90,Indiana,80
400278922,2013-04-15,Charlotte,106,New York Knicks,95
400278938,2013-04-17,New York Knicks,98,Atlanta,92
400277725,2013-10-31,Philadelphia 76ers,84,Denver,75
400277757,2013-11-04,NY Knicks,100,Philadelphia 76ers,84
400277762,2013-11-05,Philadelphia 76ers,88,NY Knicks,110
400277778,2013-11-07,New Orleans,62,Philadelphia 76ers,77
400277790,2013-11-09,Boston,100,Philadelphia 76ers,106
400277801,2013-11-10,Toronto,83,Philadelphia 76ers,93
400277816,2013-11-12,Philadelphia 76ers,96,Milwaukee,105
400277829,2013-11-14,Philadelphia 76ers,76,Detroit,94
400277842,2013-11-16,Philadelphia 76ers,99,Utah,93
400277861,2013-11-18,Philadelphia 76ers,86,Cleveland,79
400277874,2013-11-20,Philadelphia 76ers,106,Toronto,98
400277879,2013-11-21,Cleveland,92,Philadelphia 76ers,83
400277903,2013-11-24,Philadelphia 76ers,109,Oklahoma City,116
400277914,2013-11-25,Philadelphia 76ers,104,Phoenix,101
400277924,2013-11-27,Philadelphia 76ers,100,Dallas,98
400277943,2013-11-30,Charlotte,98,Philadelphia 76ers,104
400277955,2013-12-01,Chicago,93,Philadelphia 76ers,88
400277971,2013-12-04,Philadelphia 76ers,88,Minnesota,105
400277990,2013-12-07,Philadelphia 76ers,95,Boston,94
400278005,2013-12-08,Boston,92,Philadelphia 76ers,79
400278018,2013-12-10,Philadelphia 76ers,104,Detroit,97
400278032,2013-12-12,Philadelphia 76ers,89,Chicago,96
400278047,2013-12-14,Indiana,95,Philadelphia 76ers,85
400278067,2013-12-16,Philadelphia 76ers,98,Los Angeles,111
400278082,2013-12-18,Dallas,107,Philadelphia 76ers,100
400278092,2013-12-19,Houston,125,Philadelphia 76ers,103
400278101,2013-12-21,Philadelphia 76ers,99,Atlanta,80
400278119,2013-12-23,Brooklyn,95,Philadelphia 76ers,92
400278136,2013-12-26,Memphis,89,Philadelphia 76ers,99
400278156,2013-12-28,Golden State,96,Philadelphia 76ers,89
400278166,2013-12-29,Portland,89,Philadelphia 76ers,85
400278183,2013-01-01,Los Angeles,99,Philadelphia 76ers,103
400278194,2013-01-02,Phoenix,95,Philadelphia 76ers,89
400278205,2013-01-04,Oklahoma City,109,Philadelphia 76ers,85
400278216,2013-01-05,San Antonio,109,Philadelphia 76ers,86
400278231,2013-01-08,Philadelphia 76ers,89,Brooklyn,109
400278236,2013-01-09,Toronto,90,Philadelphia 76ers,72
400278264,2013-01-12,Philadelphia 76ers,107,Houston,100
400278284,2013-01-15,Philadelphia 76ers,99,New Orleans,111
400278305,2013-01-18,Philadelphia 76ers,108,Toronto,101
400278331,2013-01-21,Philadelphia 76ers,85,San Antonio,90
400278336,2013-01-22,Milwaukee,110,Philadelphia 76ers,102
400278363,2013-01-26,Philadelphia 76ers,97,NY Knicks,80
400278380,2013-01-28,Philadelphia 76ers,100,Memphis,103
400278390,2013-01-30,Philadelphia 76ers,92,Washington,84
400278409,2013-02-01,Philadelphia 76ers,89,Sacramento,80
400278428,2013-02-04,Philadelphia 76ers,78,Orlando,61
400278441,2013-02-06,Philadelphia 76ers,69,Indiana,88
400278468,2013-02-09,Philadelphia 76ers,87,Charlotte,76
400278481,2013-02-11,Philadelphia 76ers,90,LA,107
400278502,2013-02-13,Milwaukee,94,Philadelphia 76ers,92
400278525,2013-02-20,Minnesota,94,Philadelphia 76ers,87
400278546,2013-02-23,Philadelphia 76ers,90,Miami,114
400278555,2013-02-24,NY Knicks,99,Philadelphia 76ers,93
400278563,2013-02-26,Philadelphia 76ers,84,Orlando,98
400278582,2013-02-28,Chicago,93,Philadelphia 76ers,82
400278596,2013-03-02,Philadelphia 76ers,104,Golden State,97
400278602,2013-03-03,Washington,90,Philadelphia 76ers,87
400278616,2013-03-05,Philadelphia 76ers,101,Boston,109
400278622,2013-03-06,Atlanta,107,Philadelphia 76ers,96
400278641,2013-03-08,Miami,102,Philadelphia 76ers,93
400278657,2013-03-10,Orlando,99,Philadelphia 76ers,91
400278663,2013-03-11,Philadelphia 76ers,106,Brooklyn,97
400278676,2013-03-13,Philadelphia 76ers,94,Miami,98
400278701,2013-03-16,Philadelphia 76ers,98,Indiana,91
400278713,2013-03-18,Philadelphia 76ers,101,Portland,100
400278738,2013-03-20,LA,101,Philadelphia 76ers,72
400278740,2013-03-21,Denver,101,Philadelphia 76ers,100
400278767,2013-03-24,Sacramento,103,Philadelphia 76ers,117
400278772,2013-03-25,Utah,107,Philadelphia 76ers,91
400278778,2013-03-27,Philadelphia 76ers,100,Milwaukee,92
400278798,2013-03-29,Cleveland,87,Philadelphia 76ers,97
400278807,2013-03-30,Philadelphia 76ers,100,Charlotte,92
400278832,2013-04-03,Charlotte,88,Philadelphia 76ers,83
400278849,2013-04-05,Atlanta,90,Philadelphia 76ers,101
400278860,2013-04-06,Miami,106,Philadelphia 76ers,87
400278875,2013-04-09,Brooklyn,104,Philadelphia 76ers,83
400278884,2013-04-10,Philadelphia 76ers,101,Atlanta,124
400278897,2013-04-12,Washington,86,Philadelphia 76ers,97
400278917,2013-04-14,Philadelphia 76ers,91,Cleveland,77
400278926,2013-04-15,Detroit,109,Philadelphia 76ers,101
400278941,2013-04-17,Indiana,95,Philadelphia 76ers,105
400277724,2013-10-31,Toronto Raptors,88,Indiana,90
400277749,2013-11-03,Brooklyn,107,Toronto Raptors,100
400277758,2013-11-04,Toronto Raptors,105,Minnesota,86
400277771,2013-11-06,Oklahoma City,108,Toronto Raptors,88
400277781,2013-11-07,Dallas,109,Toronto Raptors,104
400277801,2013-11-10,Toronto Raptors,83,Philadelphia,93
400277815,2013-11-12,Toronto Raptors,133,Utah,140
400277825,2013-11-13,Indiana,72,Toronto Raptors,74
400277851,2013-11-17,Boston,107,Toronto Raptors,89
400277860,2013-11-18,Toronto Raptors,97,Orlando,86
400277874,2013-11-20,Philadelphia,106,Toronto Raptors,98
400277877,2013-11-21,Charlotte,98,Toronto Raptors,97
400277895,2013-11-23,Detroit,91,Toronto Raptors,90
400277911,2013-11-25,Toronto Raptors,106,San Antonio,111
400277926,2013-11-27,Houston,117,Toronto Raptors,101
400277936,2013-11-28,Memphis,103,Toronto Raptors,82
400277942,2013-11-30,Toronto Raptors,101,Phoenix,97
400277968,2013-12-03,Denver,113,Toronto Raptors,110
400277986,2013-12-05,Sacramento,107,Toronto Raptors,100
400277999,2013-12-07,Utah,131,Toronto Raptors,99
400278012,2013-12-09,LA,102,Toronto Raptors,83
400278023,2013-12-10,Portland,92,Toronto Raptors,74
400278029,2013-12-12,Toronto Raptors,88,Brooklyn,94
400278045,2013-12-14,Toronto Raptors,95,Dallas,74
400278066,2013-12-16,Toronto Raptors,103,Houston,96
400278077,2013-12-18,Cleveland,99,Toronto Raptors,113
400278086,2013-12-19,Toronto Raptors,97,Detroit,91
400278100,2013-12-21,Toronto Raptors,93,Orlando,90
400278138,2013-12-26,San Antonio,100,Toronto Raptors,80
400278150,2013-12-28,New Orleans,97,Toronto Raptors,104
400278159,2013-12-29,Orlando,88,Toronto Raptors,123
400278184,2013-01-02,Toronto Raptors,102,Portland,79
400278198,2013-01-04,Toronto Raptors,96,Sacramento,105
400278219,2013-01-06,Toronto Raptors,92,Oklahoma City,104
400278236,2013-01-09,Toronto Raptors,90,Philadelphia,72
400278250,2013-01-11,Toronto Raptors,99,Charlotte,78
400278270,2013-01-13,Toronto Raptors,96,Milwaukee,107
400278286,2013-01-15,Brooklyn,113,Toronto Raptors,106
400278290,2013-01-16,Toronto Raptors,105,Chicago,107
400278305,2013-01-18,Philadelphia,108,Toronto Raptors,101
400278321,2013-01-20,Toronto Raptors,108,Los Angeles,103
400278339,2013-01-23,Miami,123,Toronto Raptors,116
400278349,2013-01-24,Orlando,95,Toronto Raptors,97
400278362,2013-01-26,Toronto Raptors,98,Cleveland,99
400278379,2013-01-28,Toronto Raptors,102,Golden State,114
400278394,2013-01-30,Atlanta,93,Toronto Raptors,92
400278404,2013-02-01,Toronto Raptors,98,LA,73
400278427,2013-02-03,Toronto Raptors,85,Miami,100
400278440,2013-02-06,Toronto Raptors,95,Boston,99
400278457,2013-02-08,Indiana,98,Toronto Raptors,100
400278475,2013-02-10,Toronto Raptors,102,New Orleans,89
400278489,2013-02-12,Toronto Raptors,109,Denver,108
400278500,2013-02-13,NY Knicks,88,Toronto Raptors,92
400278509,2013-02-19,Washington,88,Toronto Raptors,96
400278518,2013-02-20,Toronto Raptors,82,Memphis,88
400278531,2013-02-22,Toronto Raptors,100,NY Knicks,98
400278559,2013-02-25,Toronto Raptors,84,Washington,90
400278572,2013-02-27,Cleveland,103,Toronto Raptors,92
400278584,2013-03-01,Toronto Raptors,81,Indiana,93
400278598,2013-03-02,Milwaukee,122,Toronto Raptors,114
400278615,2013-03-04,Golden State,125,Toronto Raptors,118
400278630,2013-03-06,Phoenix,71,Toronto Raptors,98
400278645,2013-03-08,Los Angeles,118,Toronto Raptors,116
400278656,2013-03-10,Toronto Raptors,100,Cleveland,96
400278679,2013-03-13,Boston,112,Toronto Raptors,88
400278689,2013-03-15,Toronto Raptors,92,Charlotte,78
400278705,2013-03-17,Toronto Raptors,91,Miami,108
400278728,2013-03-20,Charlotte,107,Toronto Raptors,101
400278742,2013-03-22,Toronto Raptors,94,NY Knicks,99
400278754,2013-03-23,NY Knicks,110,Toronto Raptors,84
400278777,2013-03-27,Toronto Raptors,88,Atlanta,107
400278797,2013-03-29,Detroit,82,Toronto Raptors,99
400278815,2013-03-31,Washington,109,Toronto Raptors,92
400278820,2013-04-01,Toronto Raptors,98,Detroit,108
400278831,2013-04-03,Toronto Raptors,88,Washington,78
400278852,2013-04-05,Minnesota,93,Toronto Raptors,95
400278862,2013-04-06,Milwaukee,100,Toronto Raptors,83
400278878,2013-04-09,Chicago,98,Toronto Raptors,101
400278896,2013-04-12,Toronto Raptors,97,Chicago,88
400278915,2013-04-14,Toronto Raptors,93,Brooklyn,87
400278933,2013-04-16,Atlanta,96,Toronto Raptors,113
400278936,2013-04-17,Toronto Raptors,114,Boston,90
400277730,2013-10-31,Phoenix,85,Golden State Warriors,87
400277746,2013-11-02,Golden State Warriors,94,Memphis,104
400277756,2013-11-03,LA,110,Golden State Warriors,114
400277768,2013-11-05,Sacramento,94,Golden State Warriors,92
400277785,2013-11-07,Golden State Warriors,106,Cleveland,96
400277800,2013-11-09,Los Angeles,101,Golden State Warriors,77
400277809,2013-11-10,Golden State Warriors,101,Denver,107
400277838,2013-11-14,Golden State Warriors,92,Atlanta,88
400277846,2013-11-16,Minnesota,98,Golden State Warriors,106
400277863,2013-11-18,Oklahoma City,119,Golden State Warriors,109
400277871,2013-11-19,Dallas,101,Golden State Warriors,105
400277890,2013-11-21,Golden State Warriors,102,Brooklyn,93
400277899,2013-11-23,Denver,102,Golden State Warriors,91
400277910,2013-11-24,Golden State Warriors,96,Minnesota,85
400277941,2013-11-29,Golden State Warriors,106,Denver,105
400277962,2013-12-01,Golden State Warriors,103,Indiana,92
400277970,2013-12-03,Golden State Warriors,94,Orlando,102
400277981,2013-12-05,Detroit,97,Golden State Warriors,104
400277992,2013-12-07,Brooklyn,102,Golden State Warriors,109
400278003,2013-12-08,Washington,97,Golden State Warriors,101
400278019,2013-12-10,Charlotte,96,Golden State Warriors,104
400278034,2013-12-12,Miami,95,Golden State Warriors,97
400278050,2013-12-14,Orlando,99,Golden State Warriors,85
400278057,2013-12-15,Atlanta,93,Golden State Warriors,115
400278085,2013-12-18,Golden State Warriors,103,New Orleans,96
400278095,2013-12-19,Sacramento,131,Golden State Warriors,127
400278109,2013-12-21,Golden State Warriors,115,Charlotte,100
400278118,2013-12-22,Golden State Warriors,115,Los Angeles,118
400278140,2013-12-26,Utah,83,Golden State Warriors,94
400278156,2013-12-28,Golden State Warriors,96,Philadelphia,89
400278167,2013-12-29,Golden State Warriors,101,Boston,83
400278195,2013-01-02,Golden State Warriors,115,LA,94
400278218,2013-01-05,LA,115,Golden State Warriors,89
400278246,2013-01-09,Golden State Warriors,87,Memphis,94
400278260,2013-01-11,Golden State Warriors,103,Portland,97
400278273,2013-01-13,Denver,116,Golden State Warriors,105
400278299,2013-01-16,Golden State Warriors,75,Miami,92
400278310,2013-01-18,San Antonio,95,Golden State Warriors,88
400278316,2013-01-19,New Orleans,112,Golden State Warriors,116
400278330,2013-01-21,Golden State Warriors,106,LA,99
400278348,2013-01-23,Golden State Warriors,104,Oklahoma City,99
400278356,2013-01-25,Chicago,103,Golden State Warriors,87
400278367,2013-01-26,Milwaukee,109,Golden State Warriors,102
400278379,2013-01-28,Toronto,102,Golden State Warriors,114
400278386,2013-01-29,Cleveland,95,Golden State Warriors,108
400278403,2013-01-31,Golden State Warriors,100,Dallas,97
400278424,2013-02-02,Golden State Warriors,113,Phoenix,93
400278438,2013-02-05,Houston,140,Golden State Warriors,109
400278449,2013-02-06,Oklahoma City,119,Golden State Warriors,98
400278462,2013-02-08,Memphis,99,Golden State Warriors,93
400278470,2013-02-09,Dallas,116,Golden State Warriors,91
400278494,2013-02-12,Golden State Warriors,107,Houston,116
400278515,2013-02-19,Utah,115,Golden State Warriors,101
400278528,2013-02-20,Golden State Warriors,108,Phoenix,98
400278542,2013-02-22,Golden State Warriors,107,San Antonio,101
400278552,2013-02-24,Minnesota,99,Golden State Warriors,100
400278564,2013-02-26,Indiana,108,Golden State Warriors,97
400278573,2013-02-27,NY Knicks,109,Golden State Warriors,105
400278587,2013-03-01,Boston,94,Golden State Warriors,86
400278596,2013-03-02,Philadelphia,104,Golden State Warriors,97
400278615,2013-03-04,Golden State Warriors,125,Toronto,118
400278632,2013-03-06,Golden State Warriors,87,Sacramento,83
400278646,2013-03-08,Golden State Warriors,88,Houston,94
400278653,2013-03-09,Golden State Warriors,93,Milwaukee,103
400278667,2013-03-11,Golden State Warriors,92,NY Knicks,63
